m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,357,32,48,1,0,16,0,15,15,15,"0,2,-3,1","-1,0,1,0",6,2,-3,3,0,3,0,0,0,3,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,360,199,305,0,1,99,0,99,99,99,"1,-3,3,-1","-1,2,-3,2",8,8,2,1,3,1,0,1,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,364,15,21,0,1,7,0,7,7,7,"-1,1,-1,1","1,-1,0,0",4,2,2,-1,3,1,2,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,370,48,70,0,0,24,1,24,24,24,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,373,214,329,1,0,107,0,106,106,106,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,4,4,4,0,1,0,0,1,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,377,24,37,1,0,12,0,11,11,11,"0,1,-1,0","0,-1,1,0",2,2,-2,2,2,4,2,0,0,2,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,424,151,231,0,1,75,0,75,75,75,"-1,1,-1,1","2,-3,2,-1",4,8,2,-1,3,1,2,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,429,25,35,1,1,12,0,12,12,12,"1,-1,1,-1","-1,1,-1,1",4,4,-2,2,1,3,1,0,0,2,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,431,27,37,1,1,13,0,13,13,13,"0,-1,2,-1","0,1,-2,1",4,4,1,-1,1,0,1,1,0,-1,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,441,21,29,1,1,10,0,10,10,10,"1,-1,0,0","-1,1,0,0",2,2,-1,1,2,3,2,0,0,1,1,0,1,"1,1",1:1|0:1|1:1,2,2048
